Domain,Protocol
87-1-ad.cg-dialup.net,OpenVPN
97-1-ad.cg-dialup.net,OpenVPN
87-1-ae.cg-dialup.net,OpenVPN
97-1-ae.cg-dialup.net,OpenVPN
87-1-al.cg-dialup.net,OpenVPN
97-1-al.cg-dialup.net,OpenVPN
87-1-am.cg-dialup.net,OpenVPN
97-1-am.cg-dialup.net,OpenVPN
93-1-ar.cg-dialup.net,OpenVPN
94-1-ar.cg-dialup.net,OpenVPN
4-1-at.cg-dialup.net,OpenVPN
9-1-at.cg-dialup.net,OpenVPN
87-1-at.cg-dialup.net,OpenVPN
97-1-at.cg-dialup.net,OpenVPN
100-1-at.cg-dialup.net,OpenVPN
101-1-at.cg-dialup.net,OpenVPN
18-1-au.cg-dialup.net,OpenVPN
19-1-au.cg-dialup.net,OpenVPN
95-1-au.cg-dialup.net,OpenVPN
96-1-au.cg-dialup.net,OpenVPN
104-1-au.cg-dialup.net,OpenVPN
105-1-au.cg-dialup.net,OpenVPN
87-1-ba.cg-dialup.net,OpenVPN
97-1-ba.cg-dialup.net,OpenVPN
95-1-bd.cg-dialup.net,OpenVPN
96-1-bd.cg-dialup.net,OpenVPN
4-1-be.cg-dialup.net,OpenVPN
9-1-be.cg-dialup.net,OpenVPN
87-1-be.cg-dialup.net,OpenVPN
97-1-be.cg-dialup.net,OpenVPN
100-1-be.cg-dialup.net,OpenVPN
101-1-be.cg-dialup.net,OpenVPN
87-1-bg.cg-dialup.net,OpenVPN
97-1-bg.cg-dialup.net,OpenVPN
93-1-br.cg-dialup.net,OpenVPN
94-1-br.cg-dialup.net,OpenVPN
93-1-bs.cg-dialup.net,OpenVPN
94-1-bs.cg-dialup.net,OpenVPN
87-1-by.cg-dialup.net,OpenVPN
97-1-by.cg-dialup.net,OpenVPN
93-1-ca.cg-dialup.net,OpenVPN
94-1-ca.cg-dialup.net,OpenVPN
102-1-ca.cg-dialup.net,OpenVPN
103-1-ca.cg-dialup.net,OpenVPN
87-1-ch.cg-dialup.net,OpenVPN
97-1-ch.cg-dialup.net,OpenVPN
