Domain,IP
al10.nordvpn.com,31.171.152.11
al11.nordvpn.com,31.171.152.115
al12.nordvpn.com,31.171.152.235
al13.nordvpn.com,31.171.152.243
al14.nordvpn.com,80.246.28.33
al15.nordvpn.com,80.246.28.35
al16.nordvpn.com,80.246.28.38
al17.nordvpn.com,80.246.28.43
al9.nordvpn.com,31.171.152.19
ar10.nordvpn.com,131.255.4.237
ar11.nordvpn.com,131.255.4.60
ar12.nordvpn.com,131.255.7.33
ar13.nordvpn.com,131.255.7.75
ar14.nordvpn.com,131.255.4.37
ar15.nordvpn.com,131.255.4.94
ar16.nordvpn.com,131.255.7.82
ar17.nordvpn.com,131.255.7.78
ar18.nordvpn.com,131.255.4.111
ar19.nordvpn.com,131.255.4.89
ar20.nordvpn.com,131.255.4.30
ar21.nordvpn.com,131.255.4.83
ar22.nordvpn.com,131.255.4.210
ar23.nordvpn.com,131.255.4.86
ar24.nordvpn.com,131.255.4.147
ar25.nordvpn.com,131.255.4.232
ar26.nordvpn.com,131.255.4.40
ar27.nordvpn.com,131.255.4.92
ar28.nordvpn.com,131.255.7.84
ar8.nordvpn.com,190.105.235.82
ar9.nordvpn.com,131.255.4.122
at43.nordvpn.com,37.120.155.227
at44.nordvpn.com,37.120.155.232
at45.nordvpn.com,37.120.155.211
at46.nordvpn.com,37.120.155.216
at48.nordvpn.com,5.254.80.163
at49.nordvpn.com,5.254.80.165
at50.nordvpn.com,217.64.127.219
at51.nordvpn.com,217.64.127.221
at52.nordvpn.com,185.216.34.219
at53.nordvpn.com,185.216.34.221
at54.nordvpn.com,185.180.12.33
at55.nordvpn.com,185.180.12.49
at56.nordvpn.com,185.216.34.171
at57.nordvpn.com,185.216.34.173
at58.nordvpn.com,91.132.139.75
at59.nordvpn.com,91.132.139.77
at60.nordvpn.com,91.132.139.83
at61.nordvpn.com,91.132.139.85
at62.nordvpn.com,185.236.202.83
at63.nordvpn.com,185.236.202.85
at64.nordvpn.com,185.236.202.88
at65.nordvpn.com,185.236.202.90
at68.nordvpn.com,89.187.168.197
at69.nordvpn.com,89.187.168.199
