Endpoint,IP
"at-01.protonvpn.com","185.244.212.59"
"at-02.protonvpn.com","185.244.212.60"
"at-03.protonvpn.com","185.244.212.61"
"at-04.protonvpn.com","185.244.212.62"
"at-05.protonvpn.com","185.244.212.219"
"at-06.protonvpn.com","185.244.212.220"
"at-07.protonvpn.com","185.244.212.221"
"at-08.protonvpn.com","185.244.212.222"
"au-09.protonvpn.com","45.248.76.131"
"au-10.protonvpn.com","45.248.76.132"
"au-11.protonvpn.com","45.248.76.133"
"au-12.protonvpn.com","45.248.76.134"
"au-13.protonvpn.com","103.212.227.123"
"au-14.protonvpn.com","103.212.227.124"
"au-15.protonvpn.com","103.212.227.125"
"au-16.protonvpn.com","103.212.227.126"
"au-17.protonvpn.com","103.107.196.203"
"au-18.protonvpn.com","103.107.196.204"
"au-19.protonvpn.com","103.107.196.205"
"au-20.protonvpn.com","103.107.196.206"
"au-21.protonvpn.com","137.59.253.51"
"au-22.protonvpn.com","137.59.253.52"
"au-23.protonvpn.com","137.59.253.53"
"au-24.protonvpn.com","137.59.253.54"
"au-25.protonvpn.com","137.59.253.56"
"au-26.protonvpn.com","137.59.253.57"
"au-27.protonvpn.com","137.59.253.58"
"au-28.protonvpn.com","137.59.253.59"
"be-01.protonvpn.com","193.9.114.179"
"be-02.protonvpn.com","193.9.114.180"
"be-03.protonvpn.com","193.9.114.181"
"be-04.protonvpn.com","193.9.114.182"
"be-05.protonvpn.com","45.128.133.227"
"be-06.protonvpn.com","45.128.133.228"
"be-07.protonvpn.com","45.128.133.229"
"be-08.protonvpn.com","45.128.133.230"
"be-09.protonvpn.com","45.128.133.231"
"be-10.protonvpn.com","45.128.133.232"
"be-11.protonvpn.com","45.128.133.233"
"be-12.protonvpn.com","45.128.133.234"
"bg-01.protonvpn.com","37.46.114.112"
"bg-02.protonvpn.com","37.46.114.113"
"bg-03.protonvpn.com","37.46.114.114"
"bg-04.protonvpn.com","37.46.114.115"
"br-01.protonvpn.com","181.214.6.68"
"br-02.protonvpn.com","181.214.6.69"
"br-03.protonvpn.com","181.214.6.70"
"br-04.protonvpn.com","181.214.6.71"
"ca-01.protonvpn.com","104.254.92.59"
"ca-02.protonvpn.com","104.254.92.60"
"ca-03.protonvpn.com","104.254.92.61"
"ca-04.protonvpn.com","104.254.92.62"
"ca-05.protonvpn.com","172.83.40.67"
"ca-06.protonvpn.com","172.83.40.68"
"ca-07.protonvpn.com","172.83.40.69"
"ca-08.protonvpn.com","172.83.40.70"
"ca-13.protonvpn.com","162.253.71.19"
"ca-14.protonvpn.com","162.253.71.20"
"ca-15.protonvpn.com","162.253.71.21"
"ca-16.protonvpn.com","162.253.71.22"
"ca-17.protonvpn.com","172.98.82.163"
"ca-18.protonvpn.com","172.98.82.164"
"ca-19.protonvpn.com","172.98.82.165"
"ca-20.protonvpn.com","172.98.82.166"
"ch-05.protonvpn.com","185.159.157.8"
"ch-06.protonvpn.com","185.159.157.9"
"ch-07.protonvpn.com","185.159.157.10"
"ch-08.protonvpn.com","185.159.157.11"
"ch-10.protonvpn.com","185.159.157.19"
"ch-11.protonvpn.com","185.159.157.20"
"ch-12.protonvpn.com","185.159.157.21"
"ch-13.protonvpn.com","185.159.157.22"
"ch-14.protonvpn.com","193.36.117.235"
"ch-15.protonvpn.com","193.36.117.236"
"ch-16.protonvpn.com","193.36.117.237"
"ch-17.protonvpn.com","193.36.117.238"
"cr-01.protonvpn.com","190.184.199.3"
"cr-02.protonvpn.com","190.184.199.4"
"cr-04.protonvpn.com","190.184.199.6"
"cz-01.protonvpn.com","185.242.6.3"
"cz-02.protonvpn.com","185.242.6.4"
"cz-03.protonvpn.com","185.242.6.5"
"cz-04.protonvpn.com","185.242.6.6"
"cz-05.protonvpn.com","217.138.199.163"
"cz-06.protonvpn.com","217.138.199.164"
"cz-07.protonvpn.com","217.138.199.165"
"cz-08.protonvpn.com","217.138.199.166"
"cz-09.protonvpn.com","217.138.199.167"
"cz-10.protonvpn.com","217.138.199.168"
"cz-11.protonvpn.com","217.138.199.169"
"cz-12.protonvpn.com","217.138.199.170"
"de-01.protonvpn.com","37.58.58.229"
"de-02.protonvpn.com","37.58.58.230"
"de-03.protonvpn.com","37.58.58.231"
"de-04.protonvpn.com","37.58.58.232"
"de-09.protonvpn.com","82.102.16.195"
"de-10.protonvpn.com","82.102.16.196"
"de-11.protonvpn.com","82.102.16.197"
"de-12.protonvpn.com","82.102.16.198"
"de-13.protonvpn.com","37.120.217.163"
"de-14.protonvpn.com","37.120.217.164"
"de-15.protonvpn.com","37.120.217.165"
"de-16.protonvpn.com","37.120.217.166"
"de-17.protonvpn.com","37.120.217.167"
"de-18.protonvpn.com","37.120.217.168"
"de-19.protonvpn.com","37.120.217.169"
"de-20.protonvpn.com","37.120.217.170"
"dk-01.protonvpn.com","95.174.65.3"
"dk-02.protonvpn.com","95.174.65.4"
"dk-03.protonvpn.com","95.174.65.5"
"dk-04.protonvpn.com","95.174.65.6"
"dk-05.protonvpn.com","45.12.221.227"
"dk-06.protonvpn.com","45.12.221.228"
"dk-07.protonvpn.com","45.12.221.229"
"dk-08.protonvpn.com","45.12.221.230"
"dk-09.protonvpn.com","45.12.221.231"
"dk-10.protonvpn.com","45.12.221.232"
"dk-11.protonvpn.com","45.12.221.233"
"dk-12.protonvpn.com","45.12.221.234"
"ee-01.protonvpn.com","165.231.178.18"
"ee-02.protonvpn.com","165.231.178.19"
"ee-03.protonvpn.com","165.231.178.20"
"ee-04.protonvpn.com","165.231.178.21"
"ee-05.protonvpn.com","165.231.178.22"
"ee-06.protonvpn.com","165.231.178.23"
"ee-07.protonvpn.com","165.231.178.24"
"ee-08.protonvpn.com","165.231.178.25"
"es-05.protonvpn.com","195.181.167.147"
"es-06.protonvpn.com","195.181.167.148"
"es-07.protonvpn.com","195.181.167.149"
"es-08.protonvpn.com","195.181.167.150"
"fi-01.protonvpn.com","194.34.132.56"
"fi-02.protonvpn.com","194.34.132.57"
"fi-03.protonvpn.com","194.34.132.58"
"fi-04.protonvpn.com","194.34.132.59"
"fr-05.protonvpn.com","185.94.189.187"
"fr-06.protonvpn.com","185.94.189.188"
"fr-07.protonvpn.com","185.94.189.189"
"fr-08.protonvpn.com","185.94.189.190"
"fr-09.protonvpn.com","194.59.249.19"
"fr-10.protonvpn.com","194.59.249.20"
"fr-11.protonvpn.com","194.59.249.21"
"fr-12.protonvpn.com","194.59.249.22"
"fr-13.protonvpn.com","62.4.18.224"
"fr-14.protonvpn.com","62.4.18.225"
"fr-15.protonvpn.com","62.4.18.226"
"fr-16.protonvpn.com","62.4.18.227"
"fr-17.protonvpn.com","62.4.18.228"
"fr-18.protonvpn.com","62.4.18.229"
"fr-19.protonvpn.com","62.4.18.230"
"fr-20.protonvpn.com","62.4.18.231"
"gr-01.protonvpn.com","185.51.134.195"
"gr-02.protonvpn.com","185.51.134.196"
"gr-03.protonvpn.com","185.51.134.197"
"gr-04.protonvpn.com","185.51.134.198"
"gr-05.protonvpn.com","185.51.134.199"
"gr-06.protonvpn.com","185.51.134.200"
"gr-07.protonvpn.com","185.51.134.201"
"gr-08.protonvpn.com","185.51.134.202"
"hk-01.protonvpn.com","209.58.185.231"
"hk-02.protonvpn.com","209.58.185.232"
"hk-03.protonvpn.com","209.58.185.233"
"hk-04.protonvpn.com","209.58.185.234"
"ie-01.protonvpn.com","5.157.13.3"
"ie-02.protonvpn.com","5.157.13.4"
"ie-03.protonvpn.com","5.157.13.5"
"ie-04.protonvpn.com","5.157.13.6"
"il-01.protonvpn.com","87.239.255.101"
"il-02.protonvpn.com","87.239.255.102"
"il-03.protonvpn.com","87.239.255.103"
"il-04.protonvpn.com","87.239.255.104"
"in-01.protonvpn.com","103.221.233.11"
"in-02.protonvpn.com","103.221.233.12"
"in-03.protonvpn.com","103.224.240.72"
"in-06.protonvpn.com","103.224.240.75"
"is-01.protonvpn.com","185.159.158.100"
"is-02.protonvpn.com","185.159.158.101"
"is-03.protonvpn.com","185.159.158.50"
"is-04.protonvpn.com","185.159.158.51"
"is-05.protonvpn.com","185.159.158.57"
"is-06.protonvpn.com","185.159.158.58"
"is-07.protonvpn.com","185.159.158.107"
"is-08.protonvpn.com","185.159.158.108"
"it-01.protonvpn.com","185.128.27.99"
"it-02.protonvpn.com","185.128.27.100"
"it-03.protonvpn.com","185.128.27.101"
"it-04.protonvpn.com","185.128.27.102"
"jp-09.protonvpn.com","185.242.4.203"
"jp-10.protonvpn.com","185.242.4.204"
"jp-101.protonvpn.com","103.125.234.198"
"jp-102.protonvpn.com","103.125.234.199"
"jp-103.protonvpn.com","103.125.234.200"
"jp-104.protonvpn.com","103.125.234.201"
"jp-105.protonvpn.com","103.125.234.202"
"jp-106.protonvpn.com","103.125.234.203"
"jp-11.protonvpn.com","185.242.4.205"
"jp-12.protonvpn.com","185.242.4.206"
"jp-21.protonvpn.com","103.125.234.204"
"jp-22.protonvpn.com","103.125.234.205"
"jp-23.protonvpn.com","103.125.234.206"
"jp-24.protonvpn.com","103.125.234.207"
"jp-25.protonvpn.com","103.125.234.208"
"jp-26.protonvpn.com","103.125.234.209"
"jp-27.protonvpn.com","103.125.234.210"
"jp-28.protonvpn.com","103.125.234.211"
"jp-29.protonvpn.com","103.125.234.212"
"jp-30.protonvpn.com","103.125.234.213"
"kr-05.protonvpn.com","113.29.230.195"
"kr-06.protonvpn.com","113.29.230.196"
"kr-07.protonvpn.com","113.29.230.197"
"kr-08.protonvpn.com","113.29.230.198"
"kr-09.protonvpn.com","113.29.230.199"
"kr-10.protonvpn.com","113.29.230.200"
"kr-11.protonvpn.com","113.29.230.201"
"kr-12.protonvpn.com","113.29.230.202"
"lt-01.protonvpn.com","85.206.163.145"
"lt-02.protonvpn.com","85.206.163.146"
"lt-03.protonvpn.com","85.206.163.147"
"lt-04.protonvpn.com","85.206.163.148"
"lt-05.protonvpn.com","85.206.163.149"
"lt-06.protonvpn.com","85.206.163.150"
"lt-07.protonvpn.com","85.206.163.151"
"lt-08.protonvpn.com","85.206.163.152"
"lu-05.protonvpn.com","92.223.89.145"
"lu-06.protonvpn.com","92.223.89.146"
"lu-07.protonvpn.com","92.223.89.147"
"lu-08.protonvpn.com","92.223.89.148"
"lu-09.protonvpn.com","92.223.89.149"
"lu-10.protonvpn.com","92.223.89.150"
"lu-11.protonvpn.com","92.223.89.151"
"lu-12.protonvpn.com","92.223.89.152"
"lv-01.protonvpn.com","196.240.54.115"
"lv-02.protonvpn.com","196.240.54.116"
"lv-03.protonvpn.com","196.240.54.117"
"lv-04.protonvpn.com","196.240.54.118"
"lv-05.protonvpn.com","196.240.54.119"
"lv-06.protonvpn.com","196.240.54.120"
"lv-07.protonvpn.com","196.240.54.121"
"lv-08.protonvpn.com","196.240.54.122"
"md-01.protonvpn.com","178.17.168.163"
"md-02.protonvpn.com","178.17.168.164"
"md-03.protonvpn.com","178.17.168.165"
"md-04.protonvpn.com","178.17.168.166"
"md-05.protonvpn.com","178.17.168.167"
"md-06.protonvpn.com","178.17.168.168"
"md-07.protonvpn.com","178.17.168.169"
"md-08.protonvpn.com","178.17.168.170"
"nl-01.protonvpn.com","62.112.9.165"
"nl-02.protonvpn.com","62.112.9.166"
"nl-03.protonvpn.com","62.112.9.167"
"nl-04.protonvpn.com","62.112.9.237"
"nl-05.protonvpn.com","77.247.178.182"
"nl-06.protonvpn.com","77.247.178.183"
"nl-07.protonvpn.com","77.247.178.185"
"nl-08.protonvpn.com","77.247.178.186"
"nl-09.protonvpn.com","89.39.107.208"
"nl-10.protonvpn.com","89.39.107.209"
"nl-101.protonvpn.com","217.23.3.91"
"nl-102.protonvpn.com","217.23.3.92"
"nl-103.protonvpn.com","217.23.3.96"
"nl-104.protonvpn.com","217.23.3.171"
"nl-105.protonvpn.com","89.39.107.202"
"nl-106.protonvpn.com","89.39.107.203"
"nl-107.protonvpn.com","89.39.107.204"
"nl-108.protonvpn.com","89.39.107.205"
"nl-109.protonvpn.com","89.39.107.198"
"nl-11.protonvpn.com","89.39.107.210"
"nl-110.protonvpn.com","89.39.107.199"
"nl-111.protonvpn.com","89.39.107.200"
