IP,ASN
1.65.179.17,4760
103.15.29.151,55639
103.208.220.122,46562
103.208.220.226,46562
103.234.220.195,9381
103.234.220.197,9381
103.236.201.110,136052
103.236.201.88,136052
103.249.28.195,45382
103.253.41.111,133398
103.253.41.98,133398
103.28.52.93,136052
103.28.53.138,136052
103.75.190.11,55720
104.149.170.162,40676
104.196.43.128,15169
104.200.20.46,63949
104.217.248.62,40676
104.218.63.72,53356
104.218.63.73,53356
104.218.63.74,53356
104.218.63.75,53356
104.218.63.76,53356
104.244.72.104,53667
104.244.72.115,53667
104.244.72.128,53667
104.244.72.191,53667
104.244.72.22,53667
104.244.72.239,53667
104.244.72.241,53667
104.244.72.33,53667
104.244.72.99,53667
104.244.73.126,53667
104.244.73.192,53667
104.244.73.198,53667
104.244.73.216,53667
104.244.73.218,53667
104.244.74.13,53667
104.244.74.136,53667
104.244.74.137,53667
104.244.74.17,53667
104.244.74.47,53667
104.244.74.53,53667
104.244.74.57,53667
104.244.74.78,53667
104.244.74.97,53667
104.244.74.98,53667
104.244.75.109,53667
104.244.75.115,53667
104.244.75.122,53667
104.244.75.138,53667
104.244.75.188,53667
104.244.75.19,53667
104.244.75.66,53667
104.244.76.110,53667
104.244.76.111,53667
104.244.76.13,53667
104.244.76.142,53667
104.244.76.165,53667
104.244.76.189,53667
104.244.76.190,53667
104.244.76.21,53667
104.244.76.245,53667
104.244.76.251,53667
104.244.76.56,53667
104.244.76.69,53667
104.244.76.73,53667
104.244.77.132,53667
104.244.77.141,53667
104.244.77.159,53667
104.244.77.171,53667
104.244.77.199,53667
104.244.77.207,53667
104.244.77.227,53667
104.244.77.81,53667
104.244.77.95,53667
104.244.78.149,53667
104.244.78.176,53667
104.244.78.21,53667
104.244.78.231,53667
104.244.78.233,53667
104.244.78.251,53667
104.244.78.61,53667
104.244.79.124,53667
104.244.79.14,53667
104.244.79.146,53667
104.244.79.160,53667
104.244.79.164,53667
104.244.79.179,53667
104.244.79.215,53667
104.244.79.233,53667
104.244.79.242,53667
104.244.79.90,53667
106.104.36.234,4780
106.104.37.65,4780
106.104.38.135,4780
106.104.38.46,4780
107.181.161.182,46562
107.189.10.10,53667
107.189.10.110,53667
107.189.10.119,53667
107.189.10.142,53667
107.189.10.143,53667
107.189.10.145,53667
107.189.10.148,53667
107.189.10.17,53667
107.189.10.181,53667
107.189.10.185,53667
107.189.10.188,53667
107.189.10.189,53667
107.189.10.19,53667
107.189.10.190,53667
107.189.10.191,53667
107.189.10.212,53667
107.189.10.216,53667
107.189.10.218,53667
107.189.10.232,53667
107.189.10.253,53667
107.189.10.35,53667
107.189.10.42,53667
107.189.10.47,53667
107.189.10.60,53667
107.189.10.85,53667
107.189.10.93,53667
107.189.11.153,53667
107.189.11.163,53667
107.189.11.168,53667
107.189.11.178,53667
107.189.11.181,53667
107.189.11.182,53667
107.189.11.185,53667
107.189.11.235,53667
107.189.11.240,53667
107.189.11.25,53667
107.189.11.63,53667
107.189.11.80,53667
107.189.11.82,53667
107.189.11.84,53667
107.189.11.87,53667
109.169.33.163,20860
109.194.216.216,50542
109.194.218.7,50542
109.201.133.100,43350
109.248.11.157,204490
109.250.145.166,8881
109.250.145.68,8881
109.250.145.75,8881
109.250.149.90,8881
109.250.150.176,8881
109.250.150.72,8881
109.250.158.47,8881
109.250.159.184,8881
109.69.67.17,49855
109.70.100.19,208323
109.70.100.20,208323
109.70.100.21,208323
109.70.100.22,208323
109.70.100.23,208323
109.70.100.24,208323
109.70.100.25,208323
109.70.100.26,208323
109.70.100.27,208323
109.70.100.28,208323
109.70.100.29,208323
109.70.100.30,208323
109.70.100.31,208323
109.70.100.32,208323
109.70.100.33,208323
109.70.100.34,208323
109.70.100.35,208323
109.70.100.36,208323
115.70.208.17,10143
116.202.112.170,24940
116.203.254.69,24940
118.163.74.160,3462
119.161.100.138,63930
119.236.50.147,4760
123.30.128.138,7643
124.109.1.207,45413
125.212.241.131,38731
128.199.149.82,14061
128.199.213.157,14061
128.31.0.13,3
130.149.80.199,680
130.185.250.76,49453
130.204.161.3,13124
131.255.4.188,61493
136.244.100.147,20473
137.74.117.63,16276
137.74.169.241,16276
138.59.18.110,52423
139.162.10.72,63949
139.162.7.42,63949
139.59.213.101,14061
139.99.172.11,16276
139.99.98.191,16276
14.141.116.26,4755
14.99.38.109,45820
141.98.252.165,39351
141.98.254.225,39351
142.44.133.86,16276
142.44.133.87,16276
142.44.133.91,16276
142.44.133.93,16276
142.44.133.94,16276
142.44.133.95,16276
142.44.139.12,16276
142.44.156.131,16276
142.44.156.132,16276
142.44.156.133,16276
142.44.156.134,16276
142.44.156.135,16276
142.44.156.136,16276
142.44.156.137,16276
142.44.156.138,16276
142.44.156.139,16276
142.44.156.140,16276
142.44.156.141,16276
142.44.156.142,16276
142.44.156.143,16276
142.44.156.144,16276
142.44.156.145,16276
142.44.156.146,16276
142.44.156.147,16276
142.44.156.148,16276
142.44.156.149,16276
142.44.156.150,16276
142.44.156.159,16276
142.44.219.49,16276
142.44.246.156,16276
142.93.157.201,14061
143.202.161.75,52423
144.172.71.182,397031
144.217.108.11,16276
144.217.166.65,16276
144.217.255.89,16276
144.217.60.211,16276
144.217.60.239,16276
144.217.64.46,16276
144.217.7.33,16276
144.217.80.80,16276
144.91.106.71,51167
145.239.91.37,16276
149.202.238.204,16276
149.56.44.47,16276
149.56.99.85,16276
151.237.185.110,57858
151.73.164.168,1267
151.73.226.199,1267
151.73.66.72,1267
151.73.93.43,1267
152.44.33.160,25697
152.66.35.72,2547
154.127.60.92,61317
155.4.117.13,8473
157.157.87.22,206804
157.245.184.13,14061
158.174.122.199,8473
158.69.172.224,16276
158.69.172.225,16276
158.69.172.227,16276
158.69.172.228,16276
158.69.172.229,16276
158.69.172.230,16276
158.69.172.231,16276
158.69.201.47,16276
158.69.236.50,16276
158.69.236.52,16276
158.69.236.57,16276
158.69.35.227,16276
158.69.36.150,16276
158.69.63.54,16276
159.89.174.9,14061
160.119.249.239,37153
160.119.253.114,37153
160.202.162.186,45382
162.213.3.221,394738
162.221.204.241,11831
162.247.72.199,4224
162.247.73.192,4224
162.247.74.200,4224
162.247.74.201,4224
162.247.74.202,4224
162.247.74.204,4224
162.247.74.206,4224
162.247.74.213,4224
162.247.74.216,4224
162.247.74.217,4224
162.247.74.27,4224
162.247.74.7,4224
162.247.74.74,4224
163.172.151.47,12876
163.172.41.228,12876
164.132.51.91,16276
164.132.9.199,16276
164.77.133.220,6471
166.70.207.2,6315
167.114.15.217,16276
167.114.15.219,16276
167.114.15.220,16276
167.114.89.192,16276
167.114.89.193,16276
167.114.89.194,16276
167.114.89.195,16276
167.114.89.197,16276
167.114.89.198,16276
167.114.89.199,16276
167.114.89.200,16276
167.114.89.201,16276
167.114.89.202,16276
167.114.89.203,16276
167.114.89.204,16276
167.114.89.205,16276
167.114.89.206,16276
167.114.89.207,16276
167.114.92.48,16276
167.114.92.49,16276
167.114.92.50,16276
167.114.92.51,16276
167.114.92.52,16276
167.114.92.53,16276
167.114.92.54,16276
167.114.92.55,16276
167.114.92.56,16276
167.114.92.57,16276
167.114.92.58,16276
167.114.92.59,16276
167.114.92.60,16276
167.86.94.107,51167
167.88.7.134,20278
169.197.97.34,21859
171.244.33.189,38731
171.25.193.20,198093
171.25.193.234,198093
171.25.193.235,198093
171.25.193.25,198093
171.25.193.77,198093
171.25.193.78,198093
172.105.35.249,63949
172.107.92.18,40676
172.93.221.104,4785
172.98.193.43,31863
172.98.193.62,31863
173.208.195.102,32097
173.212.231.228,51167
173.234.56.66,15003
173.244.209.5,29854
173.249.57.253,51167
176.10.104.240,51395
176.10.107.180,51395
176.10.99.200,51395
176.105.254.174,49367
176.105.254.176,49367
176.105.254.199,49367
176.105.255.200,62068
176.105.255.203,62068
176.105.255.206,62068
176.105.255.28,62068
